need_id,column_name,display_text
N05,wound_size_s9,褥瘡大きさ　36以上64未満
N05,wound_size_s12,褥瘡大きさ　64以上100未満
N05,wound_size_s15,褥瘡大きさ　100以上
N05,wound_infection_i1,褥瘡炎症・感染　局所の炎症兆候あり（創周囲の発赤・腫脹・熱感・疼痛）
N05,wound_infection_i3,褥瘡炎症・感染　臨床的定着疑い（創面にぬめりがあり、浸出液が多い。肉芽があれば、浮腫性で脆弱など）※5
N05,wound_infection_i3c,褥瘡炎症・感染　局所の明らかな感染徴候あり（炎症兆候、膿、悪臭など）
N05,wound_infection_i9,褥瘡炎症・感染　全身的影響あり
N05,wound_granulation_g1,褥瘡肉芽組織　良性肉芽が創面の90%以上を占める
N05,wound_granulation_g3,褥瘡肉芽組織　良性肉芽が創面の50%以上90%未満を占める
N05,wound_granulation_g4,褥瘡肉芽組織　良性肉芽が創面の10%以上50%未満を占める
N05,wound_granulation_g5,褥瘡肉芽組織　良性肉芽が創面の10%未満を占める
N05,wound_granulation_g6,褥瘡肉芽組織　良性肉芽が全く形成されていない
N05,wound_necrosis_n3,褥瘡壊死組織　柔らかい壊死組織あり
N05,wound_necrosis_n6,褥瘡壊死組織　硬く厚い密着した壊死組織あり
N05,wound_pocket_p6,褥瘡ポケット　4未満
N05,wound_pocket_p6_4to16,褥瘡ポケット　4以上16未満
N05,wound_pocket_p12,褥瘡ポケット　16以上36未満
N05,wound_pocket_p24,褥瘡ポケット　36以上
N06,swallowing_1,嚥下　お茶や汁物を含ませてしまいむせ込みにくい
N06,swallowing_2,嚥下　口腔移動がうまく、呑み込むにくい
N06,swallowing_3,嚥下　おかゆ・ゼリー・とろみ食でも含ませてしまい呑み込みにくい
N06,swallowing_4,嚥下　嚥下できない
N06,oral_teeth_gum_1,開口　開口には応じないが徒手的に2横指程度開口可能（要注意）
N06,oral_teeth_gum_2,開口	食いしばりや顎関節の拘縮のため開口量が1横指程度（問題あり）
N06,oral_saliva_flow_1,口臭　口腔に近づくと口臭を感じる（要注意）
N06,oral_saliva_flow_2,口臭　室内に口臭由来のにおいを感じる（問題あり）
N06,oral_dryness_1,よだれ　なし　嚥下反射の低下を疑うが、よだれなし（要注意）
N06,oral_dryness_2,よだれ　あり　嚥下反射の低下による（問題あり）
N06,oral_saliva_1,口腔乾燥度・唾液　唾液あり・唾液が少なくネバネバ（要注意）
N06,oral_saliva_2,口腔乾燥度・唾液　明らかに抵抗が増し、粘膜にくっつきそうになる・唾液が少なくカラカラ（問題あり）
N06,oral_denture_condition_1,歯・義歯　部分的に歯垢や食物残渣がある・動揺する歯があるが、ケアの妨げにならない程度（要注意）
N06,oral_denture_condition_2,歯・義歯　歯垢・歯石が多量に付着・抜けそうな歯がある（問題あり）
N06,oral_tongue_1,粘膜全体　乾燥・発赤など色調のの変化（要注意）
N06,oral_tongue_2,粘膜全体　自然出血、潰瘍、カンジダ、気道分泌物剥離上皮、凝血の塊などが目立ち、強固に付着（問題あり）
N06,oral_tongue_surface_1,舌　乳頭が明確でなくテカリがある(舌苔ができ白い)、乳頭ない(平滑舌)（要注意）
N06,oral_tongue_surface_2,舌　水疱/ひび割れている（問題あり）
N06,oral_mucosa_1,口腔　亀裂あり　口角炎（要注意）
N06,oral_gum_1,歯肉　浮腫、ブラッシングで出血、発赤（要注意）
N06,oral_gum_2,歯肉　自然に出血、圧すと出血（問題あり）
N07,room_cleanliness_1b,居室の清潔　掃除はされず、ごみが散らかっている
N07,room_cleanliness_2a,居室の清潔　室内は汚く、ごみや排泄物で不衛生な状態
N07,oral_saliva_flow_1,口臭　口腔に近づくと口臭を感じる（要注意）
N07,oral_saliva_flow_2,口臭　室内に口臭由来のにおいを感じる（問題あり）
N07,oral_dryness_1,よだれ　なし　嚥下反射の低下を疑うが、よだれなし（要注意）
N07,oral_dryness_2,よだれ　あり　嚥下反射の低下による（問題あり）
N07,oral_saliva_1,口腔乾燥度・唾液　唾液あり・唾液が少なくネバネバ（要注意）
N07,oral_saliva_2,口腔乾燥度・唾液　明らかに抵抗が増し、粘膜にくっつきそうになる・唾液が少なくカラカラ（問題あり）
N07,skin_nail_care_1,清潔・整容　時折、入浴（シャワー浴）・保清・シャンプー・髭剃・整髪・更衣ができるが、肌に汚れが目立つ
N07,skin_nail_care_2,清潔・整容　たまに、入浴（シャワー浴）・保清・シャンプー・髭剃・整髪・更衣ができるが、汚れが目立つ
